"","acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1230",8.03,0.29,2.1,0.075,66,0.9972,3.4,0.64,9.5,5
"1231",7.88,0.34,2.7,0.066,58,0.9947,3.37,0.78,11.8,6
"1232",8.62,0.01,2.6,0.074,90,0.9962,3.38,0.62,10.8,5
"1233",8.03,0.29,2.1,0.075,66,0.9972,3.4,0.64,9.5,5
"1234",10.43,0.37,2.2,0.057,36,0.9961,3.23,0.49,9.3,4
"1235",7.85,0.01,2.2,0.059,18,0.9924,3.39,0.4,12.8,6
"1237",8.35,0,1.7,0.07,17,0.9966,3.26,0.64,9.4,6
"1238",7.85,0.01,2.2,0.059,18,0.9924,3.39,0.4,12.8,6
"1239",8.83,0,2.5,0.081,24,0.998,3.38,0.46,9.6,4
"1241",8.11,0.2,1.7,0.076,60,0.9949,3.1,0.4,9.3,5
"1242",10.17,0.39,2.5,0.079,65,0.9973,3.16,0.59,9.8,5
"1243",9.4,0.41,2,0.058,40,0.9941,3.22,0.6,12.2,6
"1244",8.86,0.22,2.4,0.082,86,0.9983,3.37,0.62,9.5,5
"1246",7.95,0.19,1.8,0.082,34,0.9966,3.49,0.68,10.5,5
"1247",8.14,0.07,1.7,0.086,48,0.995,3.12,0.48,10,5
"1248",7.95,0.19,1.8,0.082,34,0.9966,3.49,0.68,10.5,5
"1249",7.31,0.33,2.2,0.081,36,0.9949,3.41,0.75,11.1,6
"1250",7.7,0.01,2.3,0.079,37,0.9951,3.4,0.61,10.9,6
"1251",7.7,0.01,2.3,0.079,37,0.9951,3.4,0.61,10.9,6
"1252",8.08,0.14,2.2,0.077,60,0.9963,3.28,0.59,9.8,5
"1254",8.56,0,1.4,0.096,13,0.9957,3.43,0.58,9.5,5
"1255",8.5,0.06,1.9,0.079,35,0.9963,3.4,0.69,10.9,5
"1256",6.74,0.02,2.4,0.069,46,0.9936,3.47,0.45,11,5
"1257",8.09,0.22,1.8,0.082,60,0.995,3.1,0.42,9.2,5
"1262",7.32,0,2,0.083,24,0.9944,3.59,0.55,11.2,4
"1263",10.25,0.38,2.5,0.081,66,0.9973,3.15,0.58,9.8,5
"1264",8.98,0,2.2,0.089,26,0.9978,3.37,0.46,9.6,4
"1265",8.87,0.32,1.8,0.066,51,0.9946,3.38,0.72,11.8,6
"1266",7.77,0.05,2.3,0.081,36,0.9956,3.38,0.6,10.3,6
"1267",7.77,0.05,2.3,0.081,36,0.9956,3.38,0.6,10.3,6
"1268",10.83,0.5,2.3,0.068,19,0.996,3.1,0.87,11.4,6
"1269",7.31,0.31,2,0.079,51,0.9967,3.47,0.55,9.5,6
"1272",7.74,0.2,1.6,0.049,64,0.9935,3.38,0.57,11.7,6
"1273",6.36,0,1.9,0.077,44,0.9938,3.5,0.53,11.2,5
"1274",8.08,0.2,2,0.073,44,0.9949,3.1,0.43,9.3,5
"1275",8.38,0.13,2.1,0.102,36,0.9944,3.24,0.53,11.2,6
"1276",8.71,0.22,2.3,0.075,81,0.9969,3.24,0.54,9.5,6
"1278",7.69,0,1.9,0.114,10,0.9964,3.35,0.6,9.7,6
"1279",8.71,0.22,2.3,0.075,81,0.9969,3.24,0.54,9.5,6
"1280",10.1,0.39,1.7,0.062,9,0.9948,3.14,0.57,11.5,7
"1281",7.56,0.2,1.9,0.077,54,0.9956,3.37,0.64,10.4,6
"1282",7.56,0.2,1.9,0.077,54,0.9956,3.37,0.64,10.4,6
"1283",8.67,0,2,0.084,22,0.9962,3.33,0.68,10.9,6
"1284",9.33,0.28,2.7,0.096,69,0.9973,3.26,0.63,10.2,6
"1285",7.42,0.19,2.3,0.071,36,0.9948,3.39,0.56,10.9,5
"1286",11.67,0.5,1.8,0.09,47,0.9973,3.15,0.57,10.5,5
"1287",7.26,0.44,2.5,0.068,31,0.9933,3.35,0.54,12.4,6
"1288",8.6,0.08,2.6,0.056,7,0.9929,3.22,0.37,13,5
"1291",8.34,0,1.9,0.1,12,0.9952,3.36,0.59,11,5
"1292",8.83,0.1,2.1,0.073,60,0.9964,3.29,0.75,10.9,6
"1293",6.29,0.13,2.4,0.056,28,0.9936,3.62,0.67,12.4,6
"1294",8.26,0,1.9,0.084,12,0.9967,3.34,0.49,9.7,4
"1295",8.83,0.1,2.1,0.073,60,0.9964,3.29,0.75,10.9,6
"1298",7.73,0.14,2.1,0.064,29,0.9932,3.35,0.61,12.1,6
"1302",7.56,0.07,2,0.1,57,0.996,3.6,0.74,11.7,6
"1303",9.47,0.32,2.1,0.064,15,0.9958,3.3,0.8,11.2,6
"1304",8.28,0.44,1.8,0.081,68,0.995,3.36,0.66,11.2,5
"1305",8.39,0.21,2.3,0.087,68,0.9955,3.12,0.44,9.2,5
"1306",8.11,0.26,1.9,0.073,88,0.9961,3.3,0.53,9.8,5
"1307",10.39,0.32,2.5,0.088,91,0.9979,3.29,0.62,10.1,5
"1309",10.39,0.32,2.5,0.088,91,0.9979,3.29,0.62,10.1,5
"1310",7.62,0.1,1.4,0.071,63,0.996,3.28,0.61,9.2,5
"1311",8.11,0.26,1.9,0.073,88,0.9961,3.3,0.53,9.8,5
"1312",7.01,0.15,3,0.064,27,0.9929,3.33,0.59,12.8,6
"1313",9.18,0.21,1.9,0.083,41,0.9953,3.34,0.47,10.5,5
"1314",7.36,0.21,2.3,0.086,65,0.9956,3.4,0.54,10.1,6
"1315",7.36,0.21,2.4,0.086,69,0.9956,3.4,0.53,10.1,6
"1316",8.13,0.27,2,0.083,91,0.9962,3.26,0.58,9.8,6
"1318",10.34,0.46,2.2,0.091,41,0.9964,3.18,0.69,11.9,6
"1319",8.13,0.27,2,0.083,91,0.9962,3.26,0.58,9.8,6
"1321",10.36,0.34,2.6,0.094,88,0.998,3.26,0.66,10.1,5
"1323",9.44,0.42,1.8,0.058,18,0.9939,3.18,0.55,11.4,5
"1324",9.46,0.39,1.8,0.06,55,0.995,3.18,0.82,11,7
"1325",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1326",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1327",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1328",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1329",7.02,0.11,1.8,0.073,38,0.9955,3.34,0.52,9.3,5
"1330",8,0.26,2.1,0.083,91,0.9962,3.29,0.56,9.8,6
"1331",8,0.26,2.1,0.083,91,0.9962,3.29,0.56,9.8,6
"1333",8.79,0.1,1.7,0.075,25,0.9958,3.09,0.43,9.7,6
"1334",9.88,0.22,2.2,0.079,48,0.9976,3.18,0.51,9.6,5
"1336",7.18,0.02,2.4,0.069,40,0.9939,3.38,0.66,12.6,6
"1337",6.5,0,1.4,0.057,26,0.9945,3.36,0.45,9.5,5
"1338",6.5,0,1.4,0.057,26,0.9945,3.36,0.45,9.5,5
"1339",6.5,0,1.4,0.057,26,0.9945,3.36,0.45,9.5,5
"1340",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1341",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1342",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1343",8.14,0.02,1.7,0.085,31,0.9959,3.37,0.51,10.4,6
"1344",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1345",11.92,0.48,2.6,0.077,20,0.9985,3.09,0.53,11,5
"1346",8.64,0.24,2.3,0.063,28,0.9961,3.25,0.53,10.2,6
"1347",6.69,0.01,2.1,0.056,13,0.9947,3.52,0.56,11.4,5
"1348",7.86,0.03,1.8,0.078,12,0.9959,3.34,0.39,9.5,5
"1349",7.86,0.03,1.8,0.078,12,0.9959,3.34,0.39,9.5,5
"1350",7.47,0,2.8,0.081,41,0.9952,3.41,0.52,10.8,5
"1351",9.6,0.29,2,0.069,73,0.9965,3.34,0.57,10,5
"1352",7.82,0.01,2.3,0.065,46,0.9933,3.32,0.51,11.8,6
"1353",8.24,0.03,1.9,0.086,57,0.9969,3.37,0.46,10.3,5
"1354",8.24,0.03,1.9,0.086,57,0.9969,3.37,0.46,10.3,5
"1355",7.78,0.03,2.3,0.077,28,0.9957,3.35,0.52,10,5
"1356",6.42,0.25,1.8,0.086,32,0.9946,3.36,0.44,10.1,5
"1357",6.44,0.25,1.8,0.084,28,0.9946,3.36,0.44,10.1,5
"1358",7.73,0.24,2.5,0.078,67,0.9965,3.6,0.59,11.1,6
"1360",12.07,0.4,1.4,0.091,28,0.997,3.07,0.65,10.0333333333333,6
"1361",9.74,0.31,2.3,0.112,38,0.997,3.24,0.56,10.9,5
"1362",9.15,0.14,2.5,0.093,54,0.9972,3.36,0.54,10.1,5
"1363",12.07,0.4,1.4,0.091,28,0.997,3.07,0.65,10.0333333333333,6
"1364",8.83,0.27,2,0.08,63,0.9965,3.29,0.48,9.8,4
"1365",7.8,0.02,1.9,0.096,31,0.995,3.46,0.53,11.8,6
"1366",8.3,0.09,2.2,0.115,42,0.9971,3.18,0.62,9.5,5
"1367",8.04,0.08,1.7,0.094,45,0.9958,3.24,0.5,9.8,5
"1369",8.77,0.32,2.1,0.079,74,0.9966,3.27,0.5,9.8,6
"1370",7.21,0,1.6,0.069,8,0.994,3.33,0.37,10.4,4
"1376",7.76,0.26,2,0.083,100,0.9959,3.26,0.52,9.9,5
"1377",9.08,0.2,1.4,0.086,31,0.9946,3.11,0.46,10,5
"1379",7.65,0.15,2,0.078,28,0.9961,3.29,0.51,9.9,6
"1380",8.07,0.02,2.6,0.077,35,0.9956,3.36,0.62,10.8,6
"1381",8.07,0.02,2.6,0.077,35,0.9956,3.36,0.62,10.8,6
"1382",7.63,0.09,1.8,0.074,25,0.9953,3.38,0.45,9.6,5
"1383",8.6,0.22,2.1,0.08,105,0.9961,3.3,0.49,9.9,5
"1384",8.6,0.22,2.1,0.08,105,0.9961,3.3,0.49,9.9,5
"1385",7.85,0.15,1.8,0.107,84,0.9959,3.19,0.5,9.5,5
"1386",8.81,0.25,3.4,0.076,85,0.9967,3.19,0.42,9.2,5
"1387",8.04,0.07,1.8,0.1,23,0.9961,3.3,0.58,9.6,5
"1388",8.04,0.07,1.8,0.1,23,0.9961,3.3,0.58,9.6,5
"1390",7.18,0.02,2.2,0.08,111,0.9952,3.1,0.53,9.7,5
"1391",6.49,0,2.3,0.068,33,0.9929,3.58,0.59,12.5,6
"1392",8.64,0.22,2.4,0.094,33,0.9961,3.37,0.58,11,5
"1393",7.72,0.06,1.3,0.07,12,0.9942,3.17,0.48,9.8,5
"1394",8.52,0.25,2,0.078,59,0.9961,3.3,0.48,10.2,5
"1396",9.29,0.1,1.6,0.092,12,0.9974,3.31,0.65,9.55,6
"1397",9.38,0.1,1.6,0.09,11,0.9974,3.31,0.65,9.55,5
"1398",7.89,0.26,2,0.08,104,0.9958,3.28,0.52,9.9,5
"1399",7.6,0.12,2.2,0.083,28,0.9966,3.52,0.62,10.2,7
"1400",7.87,0,2.2,0.068,24,0.9956,3.42,0.72,11.1,6
"1403",7.9,0.42,2,0.052,24,0.9963,3.44,0.82,11.9,6
"1405",8.5,0.39,2.6,0.082,46,0.9985,3.43,0.62,10.7,6
"1406",7.98,0.3,2,0.062,34,0.9952,3.28,0.9,11.3,7
"1408",6.51,0,2.1,0.064,54,0.995,3.54,0.93,10.7,6
"1410",6.51,0,2.1,0.064,54,0.995,3.54,0.93,10.7,6
"1411",7.56,0,1.8,0.082,16,0.9936,3.5,0.44,11.9,6
"1412",6.87,0.4,2.4,0.071,19,0.9963,3.56,0.73,10.6,6
"1414",10.47,0.25,2,0.104,89,0.9963,3.04,0.9,10.1,5
"1415",10.32,0.59,2.2,0.077,15,0.9994,3.2,0.78,9.6,5
"1416",6.78,0,1.6,0.065,18,0.9966,3.56,0.84,9.4,5
"1417",10.32,0.59,2.2,0.077,15,0.9994,3.2,0.78,9.6,5
"1418",7.64,0.33,2.5,0.064,37,0.9952,3.35,0.77,12.1,7
"1419",8.33,0.01,1.6,0.077,19,0.995,3.16,0.46,9.8,5
"1421",8.33,0.01,1.6,0.077,19,0.995,3.16,0.46,9.8,5
"1422",7.9,0.18,1.6,0.079,58,0.9965,3.34,0.58,9.4,5
"1423",7.54,0,2.1,0.079,55,0.9956,3.39,0.84,11.4,6
"1425",8.56,0.37,1.4,0.076,23,0.9974,3.26,0.7,9.6,6
"1426",8.56,0.37,1.4,0.076,23,0.9974,3.26,0.7,9.6,6
"1427",7.93,0.37,1.8,0.046,60,0.9971,3.41,0.71,12.1,6
"1428",8.01,0.33,2.5,0.078,23,0.9957,3.3,0.58,11.2,5
"1429",8.44,0,1.9,0.072,55,0.9962,3.31,0.63,11,5
"1430",8.08,0.4,2.2,0.049,67,0.996,3.33,0.93,11.3,5
"1431",7.81,0.24,1.8,0.066,47,0.9956,3.37,0.62,10.4,5
"1432",8.03,0.31,2.1,0.069,74,0.9958,3.26,0.54,9.9,6
"1433",6.34,0,1.6,0.042,11,0.9944,3.48,0.85,11.7,6
"1434",6.5,0.16,1.8,0.069,25,0.9955,3.42,0.74,10.1,7
"1439",7.59,0,1.7,0.052,8,0.996,3.41,0.47,10.3,5
"1440",7.97,0.02,2.2,0.072,92,0.9957,3.32,0.68,11.0666666666667,6
"1441",7.57,0.32,2,0.062,28,0.9947,3.23,0.73,11.3,7
"1443",7.53,0.02,1.9,0.078,30,0.9971,3.4,0.75,9.8,5
"1444",7.48,0.2,1.75,0.058,22,0.9932,3.38,0.49,11.7,5
"1445",7.97,0.02,2.2,0.072,92,0.9957,3.32,0.68,11.1,6
"1447",7.53,0.02,1.9,0.078,30,0.9971,3.4,0.75,9.8,5
"1448",7.47,0,1.9,0.08,39,0.997,3.4,0.74,9.7,5
"1449",7.48,0.01,1.9,0.08,54,0.9968,3.4,0.73,9.7,5
"1450",7.58,0.31,2,0.056,29,0.9947,3.23,0.76,11.3,8
"1451",7.57,0.32,2,0.062,28,0.9947,3.23,0.73,11.3,7
"1452",8.12,0.44,2.7,0.104,17,0.9973,3.33,0.78,11,7
"1453",7.18,0.02,2,0.062,53,0.9937,3.35,0.76,11.6,7
"1454",8.09,0.33,1.9,0.074,85,0.9971,3.41,0.58,9,5
"1455",12.15,0.63,2.2,0.073,23,0.9997,3.21,0.69,10.9,6
"1456",7.4,0,1.6,0.052,17,0.9947,3.5,0.63,10.9,6
"1457",6.54,0.06,1.8,0.05,89,0.9924,3.3,0.5,10.55,6
"1458",8.09,0.33,1.9,0.074,85,0.9971,3.41,0.58,9,5
"1459",8.69,0.4,1.7,0.067,20,0.996,3.39,0.6,10.5,5
"1460",8.1,0.35,1.7,0.054,15,0.9946,3.32,0.8,11.9,7
"1461",6.82,0.09,2.3,0.054,64,0.9972,3.41,0.68,10.4,6
"1462",6.99,0,2.1,0.06,13,0.9966,3.59,0.61,10,4
"1463",7.44,0.03,2.3,0.075,31,0.9954,3.36,0.58,10.4,6
"1464",7.53,0.01,2.4,0.076,39,0.9952,3.34,0.53,10.8,6
"1465",7.39,0.1,1.7,0.063,53,0.9958,3.41,0.67,9.7,5
"1466",7.39,0.1,1.7,0.063,53,0.9958,3.41,0.67,9.7,5
"1467",7.78,0.32,2.1,0.062,54,0.9973,3.3,0.65,10,7
"1468",7.74,0.08,2.3,0.067,32,0.9965,3.52,0.57,11,4
"1469",7.78,0.32,2.1,0.062,54,0.9973,3.3,0.65,10,7
"1470",8.28,0.05,2.1,0.061,49,0.997,3.31,0.55,9.7,3
"1473",7.95,0.6,2.6,0.073,44,0.9966,3.38,0.79,11.1,6
"1474",6.7,0.08,1.8,0.071,45,0.9934,3.38,0.54,11,5
"1480",8.48,0.6,3,0.104,22,0.9983,3.39,0.68,10.6,5
"1481",6.22,0.03,1.5,0.08,13,0.995,3.66,0.62,10.1,4
"1482",8.48,0.6,3,0.104,22,0.9983,3.39,0.68,10.6,5
"1483",7.78,0.54,2.1,0.114,9,0.9972,3.33,0.57,10.3,4
"1484",8.43,0.44,1.5,0.042,12,0.9954,3.35,0.61,10.7,5
"1485",7.71,0.06,2,0.06,11,0.9959,3.53,0.64,10.9,4
"1486",7.66,0.16,2.1,0.074,25,0.9961,3.37,0.55,9.7,5
"1487",7.48,0.21,2.1,0.07,23,0.9955,3.38,0.6,10.3,5
"1488",6.64,0.05,1.9,0.066,17,0.995,3.52,0.78,10.6,5
"1490",6.77,0.1,2.1,0.048,11,0.9945,3.44,0.76,10.8,6
"1493",6.85,0.06,1.6,0.05,18,0.9935,3.57,0.54,11.95,5
"1495",6.71,0.09,1.4,0.066,28,0.9946,3.42,0.7,10,7
"1496",7.43,0.02,1.9,0.08,28,0.9949,3.35,0.81,10.6,6
"1498",7.64,0.03,2.3,0.054,16,0.9951,3.45,0.63,11.5,6
"1499",7.49,0.04,2.3,0.068,13,0.9958,3.53,0.58,10.8,6
"1500",7.64,0.03,2.3,0.054,16,0.9951,3.45,0.63,11.5,6
"1501",8.22,0.04,1.5,0.076,15,0.9951,3.26,0.53,9.6,5
"1503",7.88,0.18,2.4,0.078,60,0.9964,3.31,0.54,9.8,5
"1504",6.64,0.39,2.5,0.077,14,0.9956,3.51,0.69,11,6
"1505",7.88,0.57,2.3,0.106,12,0.996,3.36,0.55,11.4,6
"1506",7.46,0.02,1.8,0.078,12,0.996,3.55,0.63,9.95,3
"1507",7.61,0.05,2,0.07,14,0.9956,3.51,0.66,10.8,6
"1508",7.88,0.57,2.3,0.106,12,0.996,3.36,0.55,11.4,6
"1509",7.37,0.6,2.1,0.074,25,0.9981,3.38,0.72,10.6,6
"1510",8.08,0.4,1.8,0.062,20,0.9941,3.28,0.7,11.1,5
"1511",6.76,0.21,2.2,0.047,48,0.9966,3.47,0.77,9.7,6
"1512",7.79,0.04,2.1,0.068,27,0.9971,3.44,0.67,9.8,5
"1513",7.19,0.04,2.2,0.061,17,0.9959,3.53,0.65,10.4,6
"1514",6.96,0.15,1.8,0.078,65,0.9929,3.33,0.6,10.5,6
"1518",7.03,0.06,2,0.063,44,0.9949,3.38,0.83,10.3,6
"1519",7.87,0.46,2.2,0.114,20,0.9965,3.32,0.63,10.5,5
"1520",7.3,0.08,2.6,0.106,27,0.9966,3.44,0.58,10.2,5
"1521",7.03,0.06,2,0.063,44,0.9949,3.38,0.83,10.3,6
"1522",7.38,0.2,1.9,0.082,23,0.9958,3.39,0.43,9.05,4
"1524",7.28,0.25,2,0.076,61,0.9953,3.34,0.6,10.4,5
"1525",6.42,0.19,2,0.075,47,0.9952,3.39,0.78,10,6
"1526",7.18,0.08,2.1,0.064,34,0.9955,3.33,0.64,9.7,5
"1527",7.27,0.08,2.2,0.064,38,0.9955,3.3,0.65,9.6,6
"1528",7.63,0.07,1.7,0.071,24,0.9951,3.29,0.66,10.8,6
"1529",8.19,0.49,2.2,0.096,59,0.9971,3.31,0.67,10.1,6
"1530",7.79,0.08,2.1,0.063,52,0.9961,3.42,0.6,10.2,6
"1531",7.04,0.09,2.2,0.063,18,0.9944,3.42,0.69,11.3,6
"1532",6.8,0.1,2.8,0.081,28,0.9963,3.6,0.66,10.2,5
"1533",7.73,0.13,2,0.058,22,0.9957,3.21,0.68,9.9,6
"1534",8.39,0.3,1.9,0.074,84,0.9972,3.39,0.61,9,5
"1535",7.16,0.14,2.4,0.064,29,0.994,3.42,0.62,11.7,7
"1536",7.55,0.13,2.2,0.075,35,0.9959,3.36,0.59,9.7,6
"1537",6.63,0.08,1.9,0.077,45,0.9953,3.6,0.68,10.3,6
"1538",5.98,0.08,1.9,0.059,31,0.9948,3.5,0.64,10.2,6
"1539",6.84,0.09,2.5,0.081,26,0.9954,3.57,0.63,12,5
"1540",7.59,0.32,1.8,0.065,60,0.9971,3.46,0.78,9.9,5
"1542",7.65,0.29,2.2,0.054,49,0.9967,3.4,0.76,10.9,7
"1543",7.55,0.02,1.9,0.064,38,0.9947,3.3,0.56,10.75,6
"1544",11.54,0.42,2.2,0.064,19,0.9976,3.25,0.57,10.4,6
"1545",8.77,0.43,2.3,0.063,19,0.9955,3.17,0.81,11.2,7
"1546",7.13,0.33,1.8,0.059,28,0.9953,3.36,0.64,10.1,6
"1547",7.57,0.02,2,0.072,26,0.9958,3.36,0.61,10.2,5
"1548",6.9,0.1,1.6,0.048,26,0.9931,3.55,0.51,12.1,5
"1549",11.6,0.5,2,0.099,50,0.9978,3.1,0.58,10.4,5
"1550",7.76,0.3,1.8,0.074,24,0.9942,3.24,0.7,11.4,8
"1551",7.78,0,2.3,0.087,26,0.9978,3.45,0.53,9.5,5
"1552",7.77,0,2.3,0.083,27,0.9977,3.44,0.54,9.4,5
"1554",8.04,0,2.2,0.08,28,0.9976,3.41,0.6,9.4,5
"1555",7.46,0.02,2.4,0.062,23,0.9963,3.54,0.6,11,6
"1556",7.56,0.17,1.7,0.065,24,0.9951,3.44,0.68,10.55,7
"1557",7.48,0.04,2.2,0.066,20,0.9964,3.53,0.56,9.9,5
"1558",7.46,0.02,2.4,0.062,23,0.9963,3.54,0.6,11,6
"1563",7.9,0.13,2,0.076,20,0.9955,3.29,0.54,10.1,5
"1564",7.9,0.13,2,0.076,20,0.9955,3.29,0.54,10.1,5
"1565",7.9,0.13,2,0.076,20,0.9955,3.29,0.54,10.1,5
"1566",7.37,0.02,1.9,0.061,42,0.9949,3.39,0.82,10.9,6
"1567",6.86,0.64,2.1,0.059,52,0.9949,3.34,0.71,11.2,6
"1568",7.9,0.13,2,0.076,20,0.9955,3.29,0.54,10.1,5
"1569",7.56,0.13,1.6,0.077,42,0.9963,3.34,0.59,9.2,5
"1570",6.71,0.14,1.9,0.056,34,0.994,3.48,0.57,11.5,6
"1573",7.99,0.32,2.2,0.069,104,0.9963,3.33,0.51,9.5,5
"1574",6.58,0.2,2.4,0.075,50,0.9947,3.58,0.67,12.5,6
"1576",8.02,0.4,2.2,0.06,20,0.9947,3.26,0.64,11.8,6
"1577",8.3,0.63,1.6,0.081,29,0.9959,3.3,0.78,10.8,6
"1580",6.76,0.09,1.7,0.053,32,0.994,3.54,0.6,11.3,5
"1581",7.75,0.33,2.4,0.068,26,0.9947,3.36,0.6,11.9,6
"1582",6.76,0.09,1.7,0.053,32,0.994,3.54,0.6,11.3,5
"1583",6.81,0.1,2.6,0.053,27,0.9936,3.57,0.5,11.9,5
"1584",6.66,0.29,2.1,0.074,98,0.9958,3.33,0.62,9.8,5
"1585",7.02,0.44,2.4,0.061,34,0.9948,3.29,0.8,11.6,7
"1586",7.59,0.44,2.6,0.066,48,0.9949,3.3,0.84,11.5,6
"1587",7.81,0.41,2.4,0.065,60,0.9949,3.34,0.85,11.4,6
"1588",6.41,0.11,1.8,0.066,28,0.9948,3.55,0.66,10.9,6
"1589",7.86,0.33,2.5,0.068,102,0.9941,3.27,0.78,12.8,6
"1591",6.85,0.15,1.8,0.077,35,0.9931,3.32,0.82,11.6,6
"1592",6.14,0.09,1.7,0.089,26,0.994,3.67,0.56,11.6,6
"1593",6.81,0.13,2.3,0.076,40,0.9957,3.42,0.75,11,6
"1594",7.42,0.08,1.9,0.068,38,0.9965,3.42,0.82,9.5,6
"1595",6.8,0.08,2,0.09,44,0.9949,3.45,0.58,10.5,5
"1596",6.45,0.1,2.2,0.062,51,0.9951,3.52,0.76,11.2,6
"1597",6.81,0.13,2.3,0.076,40,0.9957,3.42,0.75,11,6
"1598",6.54,0.12,2,0.075,44,0.9955,3.57,0.71,10.2,5
"1599",6.31,0.47,3.6,0.067,42,0.9955,3.39,0.66,11,6
